Date, Open, High, Low, Close, Volume
08/15/22, 210.37, 216.74, 210.37, 216.42, 5290623
08/12/22, 213.00, 213.22, 210.10, 211.33, 6443688
08/11/22, 213.29, 213.50, 210.59, 211.08, 6639640
08/10/22, 214.83, 214.84, 211.31, 212.10, 5746447
08/09/22, 212.00, 213.45, 209.75, 210.26, 4596766
08/08/22, 215.23, 216.63, 212.0488, 213.32, 4065782
08/05/22, 210.71, 215.95, 210.50, 215.87, 5553727
08/04/22, 210.53, 214.88, 208.55, 213.47, 6789745
08/03/22, 207.99, 210.33, 206.88, 208.48, 9520093
08/02/22, 207.80, 208.8379, 203.93, 206.26, 9939408
08/01/22, 208.45, 213.985, 207.56, 211.36, 8028363
07/29/22, 212.00, 214.16, 209.83, 212.11, 6059699
07/28/22, 210.64, 212.72, 207.92, 211.35, 7477062
07/27/22, 210.77, 216.85, 201.20, 210.47, 17432240
07/26/22, 213.85, 215.15, 211.75, 212.49, 6140989
07/25/22, 214.58, 214.80, 211.62, 214.27, 4357203
07/22/22, 217.93, 218.07, 212.12, 213.70, 5071466
07/21/22, 213.15, 216.90, 212.73, 216.19, 4801270
07/20/22, 212.00, 214.13, 211.21, 213.37, 4460290
07/19/22, 208.22, 214.11, 207.90, 213.66, 4927142
07/18/22, 211.50, 212.91, 206.64, 207.21, 4648889
07/15/22, 209.37, 211.71, 207.18, 210.04, 7245682
07/14/22, 200.00, 206.08, 197.98, 205.91, 5605463
07/13/22, 200.43, 205.57, 199.50, 204.15, 7597330
07/12/22, 203.25, 208.12, 202.76, 204.82, 6779493
07/11/22, 202.00, 206.74, 202.00, 205.06, 5366255
07/08/22, 202.32, 204.10, 200.46, 203.57, 3621759
07/07/22, 202.54, 203.43, 200.04, 202.80, 4650703
07/06/22, 200.00, 202.51, 198.665, 201.12, 4111355
07/05/22, 196.23, 200.57, 194.14, 200.54, 4110884
07/01/22, 196.79, 199.80, 194.71, 199.18, 4131776
06/30/22, 195.37, 198.85, 192.85, 196.89, 7045200
06/29/22, 197.32, 200.64, 197.32, 199.50, 4324567
06/28/22, 204.00, 206.79, 197.50, 198.12, 4372458
06/27/22, 205.75, 207.09, 202.6149, 203.56, 6121223
06/24/22, 197.73, 205.64, 197.51, 205.51, 7754785
06/23/22, 196.14, 197.46, 193.45, 196.64, 4752787
06/22/22, 191.25, 196.39, 191.03, 193.82, 5139086
06/21/22, 195.71, 196.73, 193.73, 194.39, 6241638
06/17/22, 186.93, 191.3053, 185.91, 190.01, 15089340
06/16/22, 191.41, 191.87, 187.53, 189.05, 9887176
06/15/22, 195.98, 198.83, 192.23, 196.16, 6490000
06/14/22, 192.72, 194.34, 191.75, 193.52, 6441168
06/13/22, 192.99, 195.89, 191.08, 192.26, 7119242
06/10/22, 201.65, 203.42, 199.18, 199.51, 5163771
06/09/22, 212.59, 213.71, 206.02, 206.11, 5140550
06/08/22, 213.76, 215.57, 212.83, 213.50, 3646279
06/07/22, 211.12, 214.97, 210.72, 214.50, 4493312
06/06/22, 215.45, 217.58, 212.09, 212.94, 3965080
06/03/22, 212.95, 214.21, 211.27, 212.65, 4352528
06/02/22, 211.89, 215.25, 211.08, 215.05, 5337228
06/01/22, 212.05, 214.11, 208.82, 209.93, 5246111
05/31/22, 210.38, 214.35, 209.11, 212.17, 9586408
05/27/22, 210.00, 213.23, 209.64, 212.88, 4897174
05/26/22, 205.11, 209.74, 204.67, 208.55, 9212253
05/25/22, 200.59, 204.95, 200.47, 203.84, 5457179
05/24/22, 203.91, 204.6729, 199.03, 202.63, 7458655
05/23/22, 200.88, 207.96, 200.77, 207.56, 12187430
05/20/22, 199.67, 201.66, 194.02, 199.03, 6966630
05/19/22, 196.35, 200.42, 193.31, 197.37, 9012392
05/18/22, 202.82, 205.46, 199.13, 199.99, 8748239
05/17/22, 202.85, 204.80, 200.15, 204.00, 7265568
05/16/22, 197.32, 199.94, 195.88, 197.81, 5161272
05/13/22, 197.00, 200.54, 196.50, 199.23, 6684482
05/12/22, 194.53, 196.06, 189.95, 193.97, 9308563
05/11/22, 193.49, 198.32, 191.40, 196.72, 9427340
05/10/22, 196.71, 197.75, 190.97, 193.58, 11016490
05/09/22, 200.05, 200.75, 192.08, 193.00, 10314140
05/06/22, 203.75, 205.72, 200.22, 202.82, 8825334
05/05/22, 212.27, 214.58, 203.07, 205.24, 7749564
05/04/22, 209.35, 214.80, 205.33, 214.52, 7191137
05/03/22, 213.61, 213.61, 206.27, 208.56, 6616908
05/02/22, 211.77, 212.14, 206.96, 211.53, 8803722
04/29/22, 218.62, 221.2008, 212.35, 213.13, 7964954
04/28/22, 220.40, 224.93, 219.27, 220.66, 10801090
04/27/22, 217.37, 221.80, 213.05, 214.11, 15955800
04/26/22, 206.98, 208.56, 201.10, 201.10, 8155285
04/25/22, 206.35, 210.5312, 205.33, 209.95, 6839415
04/22/22, 216.24, 216.56, 207.95, 208.17, 6201091
04/21/22, 219.51, 223.92, 215.35, 216.45, 8850268
04/20/22, 218.66, 220.8187, 217.39, 217.79, 7178476
04/19/22, 213.10, 216.51, 212.44, 215.70, 5028806
04/18/22, 211.67, 215.8319, 211.52, 213.17, 4744430
04/14/22, 214.27, 215.95, 212.53, 212.79, 8191575
04/13/22, 210.43, 213.85, 207.171, 213.27, 8052883
04/12/22, 216.50, 216.99, 210.70, 211.40, 7446590
04/11/22, 215.25, 217.30, 213.41, 214.75, 6942735
04/08/22, 214.81, 219.405, 213.08, 216.98, 5438734
